facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
15,Home Nursing Foundation Wellness @ Hougang,35 Hougang Avenue 3 Hougang Community Club #04-01 Singapore 538840,538840,1.36475124381247,103.892727994573,HOUGANG
16,Hua Mei EPICC - Tiong Bahru,298 Tiong Bahru Road Central Plaza #15-01/06 Singapore 168730,168730,1.28629937187776,103.828093503404,BUKIT MERAH
17,Hua Mei EPICC - Whampoa,300 Whampoa Drive Whampoa Community Club #02-30 Singapore 327737,327737,1.32486749296569,103.85720121091,NOVENA
18,Jamiyah Senior Care Centre,130 West Coast Drive Jamiyah Nursing Home Singapore 127444,127444,1.31113047034516,103.759443410427,CLEMENTI
19,Kwong Wai Shiu Care @ Jalan Besar,69 Jellicoe Road #02-01 #03-01 Singapore 208737,208737,1.30800417471157,103.861786568352,KALLANG
20,Kwong Wai Shiu Care @ McNair,113 McNair Road Singapore 321113,321113,1.32100686964356,103.85982430866,KALLANG
21,Kwong Wai Shiu Care @ Potong Pasir,51 Potong Pasir Avenue 1 Kwong Wai Shiu Hospital @ Potong Pasir Singapore 358400,358400,1.33503582793654,103.863977651326,TOA PAYOH
22,Kwong Wai Shiu Care @ St George,25 St. George's Lane #01-01 Singapore 320025,320025,1.32227989942996,103.862088519793,KALLANG
23,Kwong Wai Shiu Hospital,705 Serangoon Road Singapore 328127,328127,1.31799485288765,103.859085390156,KALLANG
24,Kwong Wai Shiu Hospital @ Potong Pasir,51 Potong Pasir Avenue 1 Singapore 358400,358400,1.33503582793654,103.863977651326,TOA PAYOH
25,Kwong Wai Shiu Senior Care Centre,705 Serangoon Road Kwong Wai Shiu Hospital Singapore 328127,328127,1.31799485288765,103.859085390156,KALLANG
26,Lentor Senior Care Centre @ Macpherson,2 MacPherson Walk Singapore 369573,369573,1.33270864756927,103.887419618418,GEYLANG
27,Lentor Senior Care Centre @ West Coast,151 West Coast Crescent Singapore 129650,129650,1.30129217999531,103.764003175913,CLEMENTI
28,Lions Home for the Elders Senior Care Centre Bishan,9 Bishan Street 13 Singapore 579804,579804,1.34934739469977,103.853549241993,BISHAN
